0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
166,3,3,237,238,5,2,851,29,10,399,2,400,45,235,2,852,3,2,853,3,854,6,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,856,857,33,4,46,228,2,365,12,2,376,3,53,401,25,7,59,52,133,33,4,9,34,5,23,2,238,858,4,2,859,239,7,2,238,21,860,4,89,4,402,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,8,8,8,8,8,8,8,8,8,8,8,8,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,34,5,861,182,2,4,33,2,90,43,7,862,2,403,2,212,2,863,51,2,213,6,25,10,9,27,3,404,13,2,864,10,7,3,121,6,865,866,9,405,2,2,240,7,183,867,0,0,0,0,0,0,0,0,0,0
8,2,134,241,7,2,4,23,2,135,406,71,24,7,30,135,143,407,408,72,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,134,241,7,2,4,23,2,135,406,71,24,7,30,135,143,407,408,72,26,74,75,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,61,7,2,4,27,64,27,11,24,3,369,4,83,14,174,869,12,370,3,37,10,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,870,46,139,138,180,206,5,871,872,88,99,17,140,141,72,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,20,24,7,2,874,21,117,3,38,184,43,298,5,875,9,7,105,3,2,876,3,877,4,878,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,38,56,2,242,76,67,13,14,880,185,2,45,60,17,33,881,882,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,32,885,409,232,11,2,243,217,3,2,186,14,886,17,887,115,9,7,888,136,410,411,3,889,890,113,4,891,24,11,244,892,78,5,2,115,59,3,893,2,47,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,412,187,44,413,3,414,375,245,2,895,3,244,2,3,32,2,896,3,246,2,42,3,2,415,416,11,395,6,111,127,13,14,361,897,2,898,12,115,2,899,11,241,900,901,6,902,2,13,206,903,0,0,0,0,0,0
904,187,49,148,3,905,46,2,2,906,18,907,32,13,2,417,108,4,2,908,3,244,228,5,909,15,79,910,34,5,418,911,38,912,3,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,220,147,45,914,2,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,171,70,16,9,7,10,915,3,419,916,188,10,917,918,420,3,297,6,919,3,920,921,6,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,71,50,2,203,3,53,188,37,2,421,9,7,21,158,2,422,6,2,54,9,923,81,6,5,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,423,3,2,924,3,246,32,247,14,78,125,3,2,115,3,424,26,925,5,926,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,927,5,116,32,116,52,171,12,928,93,6,9,346,11,2,248,4,929,5,2,68,45,930,2,931,380,182,2,932,29,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
933,187,934,32,247,2,78,62,9,51,935,11,2,936,15,4,2,248,7,937,183,157,2,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,96,11,63,190,5,938,939,14,940,249,941,6,25,942,943,2,944,945,2,425,6,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,946,2,426,62,4,20,947,22,948,12,2,229,3,949,6,79,950,951,18,144,184,5,952,5,14,426,427,5,953,5,2,3,954,4,955,46,2,23,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34,5,338,32,12,4,38,233,3,428,9,2,34,5,116,52,957,4,2,958,76,152,190,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,373,3,960,190,961,3,2,150,17,962,246,60,10,963,3,236,5,2,964,21,429,18,61,430,431,129,432,2,172,18,433,3,965,966,2,4,434,4,7,59,9,94,3,93,0,0,0,0,0,0,0,0,0,0,0,0
20,967,2,359,3,968,374,41,2,24,231,382,105,3,969,6,410,12,2,970,971,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,69,972,2,973,974,13,975,976,29,977,5,978,6,979,113,2,23,13,294,3,322,6,980,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,247,78,125,3,2,115,3,424,981,26,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,54,17,415,3,435,222,3,191,2,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20,111,984,985,15,986,11,2,987,988,2,149,3,2,436,11,70,3,2,107,12,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,9,7,94,157,9,2,989,9,990,991,15,992,11,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
994,5,2,149,22,250,4,9,995,996,35,116,32,35,81,3,997,147,220,998,3,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,191,3,1,46,2,1,79,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,309,112,121,1,269,1,3,95,274,1,102,2,54,7,112,2,399,7,10,109,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,9,2,1,2,437,4,2,1,5,2,438,11,52,1,1,28,1,66,2,344,73,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,20,51,39,2,325,39,27,1,15,10,435,1,22,11,1,3,1,29,1,12,1,3,10,6,2,1,39,20,1,79,1,11,2,248,9,60,10,439,21,1,78,5,32,0,0,0,0,0,0,0,0,0,0,0,0,0
2,36,55,85,100,4,2,9,155,5,65,16,35,5,1,16,35,2,1,4,2,1,409,176,29,1,1,13,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,32,9,2,22,1,2,78,5,440,2,2,1,5,2,205,205,4,46,1,12,2,1,3,441,6,1,3,14,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,60,1,63,427,4,170,5,33,1,10,436,6,35,437,11,2,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
